120
028888888899|02888888888|A311|22/12/2000|23/13/11/2023|0|0|0|0|ltppp
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
082882000000|02929288888|A316|22/12/2000|3/14/11/2023|0|0|0|0|lfpefepfp
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
0|0|0|0/0/0|0/0/0/0|0|0|0|0|0
